concept_id,publish,domain,variable_type,instance_type,audit_note
CRP_UG_ML,TRUE,Inflammation,lab_value,single,"Year 25 description (FL6CRP) explicitly specifies 'high sensitivity'; the other description (HL6CRPBN) does not specify method. Variable HL6CRPBN includes 'BN' in its name, suggesting possible overlap with CRP_BNII_UG_ML � verify whether HL6CRPBN is correctly assigned to this concept or belongs in CRP_BNII_UG_ML. If HL6CRPBN is confirmed as BN II method, the label and description of this concept may need revision. Encoding artifact in raw units field (� �g/mL should be �g/mL)."
ADJUSTED_AGATSTON_SCORE_AVG,TRUE,Cardiovascular,derived_score,single,Exam F variable (FR3ADJSC) described as 'adjudicated summary Agatston score'; Exam G variable (GR3SCORE) described as 'average adjusted Agatston score'. Minor label difference but likely same construct.
ADJUSTED_ISOVOL_PRESENCE,TRUE,Cardiovascular,derived_score,single,Exam F description (FR3AISPR) specifies the 5-level rating scale and attributes it to Dr. Carr; Exam G description (GR3RATING) is brief ('ADJUSTED ISOVOL PRESENCE'). Rating scale detail sourced from Exam F VARDESC. The term 'adjudicated' is not used in source documentation.
ANALYSIS_DATE_HEART,FALSE,Cardiovascular,process_admin,multi_instance,Administrative date variable; not a clinical measurement. Marked publish=false.
ANALYSIS_TIME_HEART,FALSE,Cardiovascular,process_admin,multi_instance,Administrative time variable; not a clinical measurement. Marked publish=false.
ANY_CAC_INDICATOR,TRUE,Cardiovascular,derived_score,single,Limited source descriptions.
CABG_HISTORY,TRUE,Cardiovascular,reported_history,single,"Limited source descriptions. CABG history is a reported/recorded item on the EBCT form, not a direct measurement derived from CT image review."
IMAGES_RECEIVED_COUNT,TRUE,Cardiovascular,process_admin,multi_instance,Protocol/QC variable; published as investigators use image count to assess scan completeness.
IMAGE_NOISE_QC,TRUE,Cardiovascular,protocol_component,multi_instance,QC variable; publish=true as investigators commonly use image quality flags for analysis decisions. Classified as protocol_component consistent with other QC variables in this family.
IMAGE_READ_STATUS,TRUE,Cardiovascular,process_admin,multi_instance,Limited source descriptions. Published as investigators use read status to determine data availability.
LAD_AGATSTON_SCORE,TRUE,Cardiovascular,derived_score,multi_instance,Exam G has separate first and second heart scan variables; Exam H has a single variable.
LAD_LESION_COUNT,TRUE,Cardiovascular,clinical_measurement,multi_instance,Exam G has separate first and second heart scan variables; Exam H has a single variable.
LAD_LESION_MASS,TRUE,Cardiovascular,clinical_measurement,multi_instance,Exam G has separate first and second heart scan variables; Exam H has a single variable.
LAD_LESION_MEAN,TRUE,Cardiovascular,clinical_measurement,multi_instance,"Source descriptions do not clarify what quantity the mean represents (e.g., density, score). Exam G has first and second heart scan variables; Exam H has a single variable."
LAD_LESION_VOLUME,TRUE,Cardiovascular,clinical_measurement,multi_instance,Exam G has separate first and second heart scan variables; Exam H has a single variable.
LCX_AGATSTON_SCORE,TRUE,Cardiovascular,derived_score,multi_instance,Exam G has separate first and second heart scan variables; Exam H has a single variable.
LCX_LESION_COUNT,TRUE,Cardiovascular,clinical_measurement,multi_instance,Exam G has separate first and second heart scan variables; Exam H has a single variable.
LCX_LESION_MASS,TRUE,Cardiovascular,clinical_measurement,multi_instance,Exam G has separate first and second heart scan variables; Exam H has a single variable.
LCX_LESION_MEAN,TRUE,Cardiovascular,clinical_measurement,multi_instance,Source descriptions do not clarify what quantity the mean represents. Exam G has first and second heart scan variables; Exam H has a single variable.
LCX_LESION_VOLUME,TRUE,Cardiovascular,clinical_measurement,multi_instance,Exam G has separate first and second heart scan variables; Exam H has a single variable.
LM_AGATSTON_SCORE,TRUE,Cardiovascular,derived_score,multi_instance,Exam G has separate first and second heart scan variables; Exam H has a single variable.
LM_LESION_COUNT,TRUE,Cardiovascular,clinical_measurement,multi_instance,Exam G has separate first and second heart scan variables; Exam H has a single variable.
LM_LESION_MASS,TRUE,Cardiovascular,clinical_measurement,multi_instance,Exam G has separate first and second heart scan variables; Exam H has a single variable.
LM_LESION_MEAN,TRUE,Cardiovascular,clinical_measurement,multi_instance,"Source description for HR3LMLM (Exam H) contains a truncated/corrupted note '(THE MAX' suggesting incomplete documentation in the data dictionary. Source descriptions do not clarify what quantity the mean represents. Exam G has first and second heart scan variables (GR3LMLM1, GR3LMLM2); Exam H has a single variable (HR3LMLM). Requires verification against original documentation."
LM_LESION_VOLUME,TRUE,Cardiovascular,clinical_measurement,multi_instance,Exam G has separate first and second heart scan variables; Exam H has a single variable.
MISREGISTRATION_QC,TRUE,Cardiovascular,protocol_component,multi_instance,QC variable; publish=true as investigators commonly use image quality flags for analysis decisions. Classified as protocol_component consistent with other QC variables in this family.
MOTION_STREAK_ARTIFACT_QC,TRUE,Cardiovascular,protocol_component,multi_instance,QC variable; publish=true as investigators commonly use image quality flags for analysis decisions. Classified as protocol_component consistent with other QC variables in this family.
OTHER_ARTIFACTS_QC,TRUE,Cardiovascular,protocol_component,multi_instance,QC variable; publish=true as investigators commonly use image quality flags for analysis decisions. Classified as protocol_component consistent with other QC variables in this family.
OTHER_CARDIAC_SURGERY,TRUE,Cardiovascular,reported_history,single,"Source descriptions say 'OTHER SURGERY'; cardiac context is inferred from the EBCT form structure alongside CABG and valvular surgery variables. This is a reported/recorded history item, not a direct CT measurement."
OTHER_CORONARY_AGATSTON_SCORE,TRUE,Cardiovascular,derived_score,multi_instance,Source descriptions are generic ('AGATSTON SCORE FOR THE SECOND HEART / FIRST HEART') without specifying 'other' coronary; the 'other' attribution is inferred from the variable name prefix (GR3OT) and context within the family of coronary segment variables. Requires verification against original documentation.
OTHER_CORONARY_LESION_COUNT,TRUE,Cardiovascular,clinical_measurement,multi_instance,Limited source descriptions.
OTHER_CORONARY_LESION_MASS,TRUE,Cardiovascular,clinical_measurement,multi_instance,Source descriptions are generic ('MASS OF LESIONS FOR THE SECOND HEART / FIRST HEART'); 'other coronary' segment attribution is from concept label and context.
OTHER_CORONARY_LESION_MEAN,TRUE,Cardiovascular,clinical_measurement,multi_instance,Source descriptions are generic; 'other coronary' attribution is from concept label and context. Does not clarify what quantity the mean represents.
OTHER_CORONARY_LESION_VOLUME,TRUE,Cardiovascular,clinical_measurement,multi_instance,Source descriptions are generic; 'other coronary' attribution is from concept label and context.
OVERALL_SERIES_QUALITY,TRUE,Cardiovascular,protocol_component,multi_instance,QC variable; publish=true as investigators commonly use overall quality ratings for analysis decisions. Classified as protocol_component consistent with other QC variables in this family.
PACEMAKER_PRESENT,TRUE,Cardiovascular,clinical_measurement,single,Limited source descriptions.
PHANTOM_PLACEMENT_QC,TRUE,Cardiovascular,protocol_component,multi_instance,QC protocol variable; publish=true as phantom placement is used by investigators to assess scan calibration quality.
POSITIVE_AGATSTON_ADJUSTED_SCORE,TRUE,Cardiovascular,derived_score,single,"Source descriptions are corrupted/garbled (single characters: P, O, S, I, T). Label and concept_id used to infer meaning. Requires verification against original data documentation."
POSITIVE_AGATSTON_SCAN_SET,TRUE,Cardiovascular,protocol_component,single,"Source descriptions are corrupted/garbled (single characters: P, O, S, I, T). Label and concept_id used to infer meaning. Requires verification against original data documentation."
RCA_AGATSTON_SCORE,TRUE,Cardiovascular,derived_score,multi_instance,Exam G has separate first and second heart scan variables; Exam H has a single variable.
RCA_LESION_COUNT,TRUE,Cardiovascular,clinical_measurement,multi_instance,Exam G has separate first and second heart scan variables; Exam H has a single variable.
RCA_LESION_MASS,TRUE,Cardiovascular,clinical_measurement,multi_instance,Exam G source descriptions are generic ('MASS OF LESIONS FOR THE SECOND/FIRST HEART'); RCA attribution confirmed by Exam H description and concept label.
RCA_LESION_MEAN,TRUE,Cardiovascular,clinical_measurement,multi_instance,Source descriptions do not clarify what quantity the mean represents. Exam G has first and second heart scan variables; Exam H has a single variable.
RCA_LESION_VOLUME,TRUE,Cardiovascular,clinical_measurement,multi_instance,Exam G has separate first and second heart scan variables; Exam H has a single variable.
SCAN1_SCAN2_PAIR_GENERIC,FALSE,Cardiovascular,process_admin,multi_instance,"This concept bundles a very large and heterogeneous collection of variables (>130 varnames) including clinical scores, QC measures, technical parameters, and administrative dates/times. Recommend decomposing into individual concepts. Marked publish=false pending decomposition. Source descriptions are highly variable and only partially listed."
SCAN_DATE,TRUE,Cardiovascular,process_admin,single,Scan date is an administrative variable. Published because it serves as the primary temporal anchor for EBCT measurements and is routinely used by researchers to determine scan timing and calculate intervals.
SCAN_EXCLUSION_HEART,TRUE,Cardiovascular,protocol_component,multi_instance,Exclusion flag; published as investigators use exclusion indicators for analysis sample selection.
STENT_PRESENT,TRUE,Cardiovascular,clinical_measurement,single,Source documentation explicitly notes this is likely an underestimate as most stents may not be identifiable by image review alone. This data quality caveat should be communicated to data users.
TOTAL_CAC_AGATSTON_ADJUDICATED,TRUE,Cardiovascular,derived_score,single,Limited source descriptions.
TOTAL_CORONARY_LESION_COUNT,TRUE,Cardiovascular,clinical_measurement,multi_instance,Exam G has separate first and second heart scan variables; Exam H has a single variable.
TOTAL_CORONARY_LESION_MASS,TRUE,Cardiovascular,clinical_measurement,multi_instance,Exam G has separate first and second heart scan variables; Exam H has a single variable.
TOTAL_CORONARY_LESION_MEAN,TRUE,Cardiovascular,clinical_measurement,multi_instance,Source descriptions do not clarify what quantity the mean represents. Exam G has first and second heart scan variables; Exam H has a single variable.
TOTAL_CORONARY_LESION_VOLUME,TRUE,Cardiovascular,clinical_measurement,multi_instance,Exam G has separate first and second heart scan variables; Exam H has a single variable.
UNADJUSTED_AGATSTON_PRESENCE,TRUE,Cardiovascular,derived_score,single,Exam F description specifies incorporation of GR3RATING when GR3ADJUD=Y; Exam G description is brief. Minor definitional difference across exams noted.
UNADJUSTED_AGATSTON_SCORE_AVG,TRUE,Cardiovascular,derived_score,single,Exam F variable (FR3UASCR) is described as 'AVERAGE UNADJUSTED AGATSTON SCORE'; Exam H variable (HR3ADSC) is described as 'AGATSTON SCORE ALL CORONARY (DOES NOT INCLUDE OTHERS)'. The Exam H description does not use the word 'unadjusted' � it is unclear whether both variables represent the same construct or whether the Exam H variable is a different summary score. Requires verification against original documentation.
UNADJUSTED_ISOVOL_PRESENCE,TRUE,Cardiovascular,derived_score,multi_instance,"This concept likely conflates two different constructs: Exam F variable FR3UAIPR ('UNADJUSTED ISOVOL PRESENCE') and Exam G variables GR3ARCOV1/GR3ARCOV2 ('SUBJECTIVE QC: INCLUDE ALL CORONARY ARTERIES FOR THE SECOND/FIRST HEART'). The Exam G variables appear to be QC coverage flags, not an isovolume presence rating. Possible misclustering of variables into this concept; requires verification against original documentation before publishing."
VALVULAR_SURGERY,TRUE,Cardiovascular,reported_history,single,"Limited source descriptions. Cardiac valvular surgery history is a reported/recorded item on the EBCT form, not a direct measurement derived from CT image review."
3D_LV_STRAIN_AND_VOLUME,TRUE,Cardiovascular,imaging_measure,single,Concept groups multiple 3D LV measures (strains and volumes) under one concept_id. Units listed as '%' but volume and rate variables use mL and vps respectively. Consider splitting strain vs. volume variables in future.
3D_QUALITY_SCORE,TRUE,Cardiovascular,data_quality,single,
AGE_AT_ECHO,TRUE,Cardiovascular,clinical_measurement,single,Limited source descriptions.
AORTIC_HEART_RATE,TRUE,Cardiovascular,clinical_measurement,multi_instance,Limited source descriptions. Variables include two readings and an SD; no units specified in source.
AORTIC_REGURGITATION_MOD_SEV,TRUE,Cardiovascular,clinical_measurement,single,
AORTIC_ROOT_DIAMETER,TRUE,Cardiovascular,imaging_measure,multi_instance,"Units not specified in source. Varnames include EARD1, EARD2, EARDSD — repeated readings with SD indicating multi-instance data collection."
AORTIC_STENOSIS_ANY,TRUE,Cardiovascular,clinical_measurement,single,
AORTIC_VALVE_PEAK_VELOCITY,TRUE,Cardiovascular,imaging_measure,single,
APICAL_VIEW_QUALITY_SCORE,TRUE,Cardiovascular,data_quality,single,
APICAL_VIEW_QUALITY_TYPE,TRUE,Cardiovascular,data_quality,single,
BODY_SURFACE_AREA,TRUE,Anthropometry,anthropometric,single,Limited source descriptions. Units not specified in source.
CIRCUMFERENTIAL_PEAK_STRAIN,TRUE,Cardiovascular,imaging_measure,single,
COLOR_DOPPLER_QUALITY,TRUE,Cardiovascular,data_quality,single,Exam C variable (QSCD) is labeled 'COLOR DOPPLER QUALITY SCORE' while Exam H variable (HDPLRQCS) is labeled 'DOPPLER QUALITY SCORE' — HDPLRQCS also appears in DOPPLER_QUALITY_SCORE concept. Potential duplicate variable assignment; requires curation review.
DIAGNOSIS_CODE_1,TRUE,Cardiovascular,clinical_measurement,single,Limited source descriptions.
DIAGNOSIS_CODE_2,TRUE,Cardiovascular,clinical_measurement,single,Limited source descriptions.
DIAGNOSIS_CODE_3,TRUE,Cardiovascular,clinical_measurement,single,Limited source descriptions.
DIAGNOSIS_CODE_4,TRUE,Cardiovascular,clinical_measurement,single,Limited source descriptions.
DIAGNOSIS_CODE_5,TRUE,Cardiovascular,clinical_measurement,single,Limited source descriptions.
DIASTOLIC_VTI,TRUE,Cardiovascular,imaging_measure,multi_instance,Limited source descriptions. No units specified.
DOPPLER_QUALITY_SCORE,TRUE,Cardiovascular,data_quality,single,HDPLRQCS appears in both COLOR_DOPPLER_QUALITY and DOPPLER_QUALITY_SCORE concepts — potential duplicate variable assignment requiring curation review. Exam C has separate apical (QSDPAPIC) and parasternal (QSDPPARA) Doppler quality scores; later exams use a single consolidated score.
DOPPLER_QUALITY_TYPE,TRUE,Cardiovascular,data_quality,single,
ECHO_ALERT_DATE,FALSE,Administrative,process_admin,single,Administrative date field related to echo alert workflow; not a clinical measurement. Marked publish=false.
ECHO_ALERT_FLAG,FALSE,Administrative,process_admin,single,"IECHOIND appears in both ECHO_ALERT_FLAG and ECHO_REFERRAL_STATUS — definite duplicate variable assignment requiring curation review. Exam H variable (HECHOALERT) is described as 'ECHO ALERT ISSUED AT INITIAL READING'; Exam I variable (IECHOIND) is described as 'Referral status' and belongs to ECHO_REFERRAL_STATUS. The alert flag is a reading workflow/administrative indicator, not a clinical finding."
ECHO_ALERT_REASON,FALSE,Administrative,process_admin,single,
ECHO_COMMENTS,TRUE,Cardiovascular,process_admin,single,Limited source descriptions.
ECHO_EXAM_DATE,FALSE,Administrative,process_admin,single,Exam/form administration date; marked publish=false per guidelines.
ECHO_PROTOCOL_DEVIATIONS,FALSE,Administrative,process_admin,multi_instance,Limited source descriptions.
ECHO_QUALITATIVE_2D1,TRUE,Cardiovascular,clinical_measurement,single,Limited source descriptions.
ECHO_QUALITATIVE_2D2,TRUE,Cardiovascular,clinical_measurement,single,Limited source descriptions.
ECHO_QUALITY_SCORES_1_5,TRUE,Cardiovascular,data_quality,multi_instance,Limited source descriptions.
ECHO_READER_MAIN,FALSE,Administrative,identifier,single,Staff identifier; marked publish=false per guidelines.
ECHO_READ_DATE,FALSE,Administrative,process_admin,single,"Administrative date field; marked publish=false. EREADDT appears in both ECHO_READ_DATE (exams C,E,H,I) and ECHO_READ_DATE_SIMPLE (exam E only) — ECHO_READ_DATE_SIMPLE is a duplicate subset of this concept. Recommend removing ECHO_READ_DATE_SIMPLE and consolidating under this concept."
ECHO_READ_DATE_SIMPLE,FALSE,Administrative,process_admin,single,"EREADDT is already included in ECHO_READ_DATE (which covers exams C,E,H,I). This concept is a duplicate subset — EREADDT for exam E only. Recommend removing this concept and relying on ECHO_READ_DATE."
ECHO_REFERRAL_STATUS,TRUE,Administrative,process_admin,single,IECHOIND appears in both ECHO_ALERT_FLAG and ECHO_REFERRAL_STATUS — potential duplicate variable assignment requiring curation review.
ECHO_STUDY_ID,FALSE,Administrative,identifier,single,Study identifier; marked publish=false per guidelines. Limited source descriptions.
GENERIC_PEAK_VELOCITY,TRUE,Cardiovascular,imaging_measure,multi_instance,"Limited source descriptions — no anatomical location or units specified. This may be a legacy or catch-all variable from early exam cycles (Exam E only). Relationship to more specific peak velocity concepts (AORTIC_VALVE_PEAK_VELOCITY, LVOT_PEAK_VELOCITY, MITRAL_PEAK_VELOCITY_EARLY, etc.) is unclear."
HEART_RATE_MMODE,TRUE,Cardiovascular,imaging_measure,single,
HEIGHT_AT_ECHO,TRUE,Anthropometry,anthropometric,single,Limited source descriptions. Units not specified in source.
IVS_THICKNESS_DIASTOLE,TRUE,Cardiovascular,imaging_measure,method_variant,Both M-mode and 2D measurements present across exams; method_variant used to reflect this.
IVS_THICKNESS_SYSTOLE,TRUE,Cardiovascular,imaging_measure,method_variant,"Units not specified in source. Varnames include EIVSTS1, EIVSTS2, EIVSTS3, EIVSTSSD — repeated readings with SD. Classified as method_variant for consistency with the parallel IVS_THICKNESS_DIASTOLE concept."
LEFT_ATRIAL_AREA_2D,TRUE,Cardiovascular,imaging_measure,method_variant,"Variables include both four-chamber (HLAAREA, ILAAREA) and two-chamber (H2cLAArea, ILAAREA2D2CH) views; these are distinct measurements grouped under one concept."
LEFT_ATRIAL_DIAMETER,TRUE,Cardiovascular,imaging_measure,single,"Early exam variables (ELAD1, ELAD2, ELADSD) suggest multiple repeated readings with a summary SD value; later exams appear to record a single value."
LEFT_ATRIAL_LONG_AXIS_2D,TRUE,Cardiovascular,imaging_measure,method_variant,"Separate four-chamber (ILALNGAX2D4CH) and two-chamber (ILALNGAX2D2CH, H2cLALongAxis) variables grouped under one concept. Type listed as integer but units are cm — may warrant verification."
LEFT_ATRIAL_VOLUME_2D,TRUE,Cardiovascular,imaging_measure,method_variant,Separate four-chamber and two-chamber variables grouped under one concept. Type listed as integer but units are mL — may warrant verification.
LONGITUDINAL_PEAK_STRAIN_2CH3CH,TRUE,Cardiovascular,imaging_measure,method_variant,Limited source descriptions. Two distinct view-based measurements (2CH and 3CH) grouped under one concept.
LONGITUDINAL_PEAK_STRAIN_4CH,TRUE,Cardiovascular,imaging_measure,single,Limited source descriptions.
LVOT_PEAK_VELOCITY,TRUE,Cardiovascular,imaging_measure,multi_instance,"Limited source descriptions. Variables include two repeated measurements (ELVOTPV1, ELVOTPV2) and an SD value (ELVOTPVD). Raw type field listed as 'encoded' but no value labels are present — this is a numeric Doppler velocity measurement."
LVOT_VTI,TRUE,Cardiovascular,imaging_measure,multi_instance,"Limited source descriptions. Variables include two repeated measurements (ELVOTVT1, ELVOTVT2) and an SD value (ELVOTVTS). Raw type field listed as 'encoded' but no value labels are present — this is a numeric Doppler VTI measurement."
LV_CARDIAC_OUTPUT,TRUE,Cardiovascular,imaging_measure,single,Units not specified in source descriptions.
LV_EF_LOW_FLAG,TRUE,Cardiovascular,flag,single,Cross-exam conflict: Year 25 variable (HLVEF45) is a binary flag for LV EF ≤ 45%; Year 30 variable (ILVEFCHANGE) flags >15% change in EF between Year 25 and Year 30. These are distinct constructs grouped under one concept ID. The concept label and description do not accurately represent both variables. Recommend splitting or clarifying which construct is primary.
LV_EJECTION_FRACTION,TRUE,Cardiovascular,imaging_measure,method_variant,"Multiple measurement methods (M-mode, 2D four-chamber, 2D two-chamber, 3D) grouped under one concept."
LV_END_DIASTOLIC_VOLUME,TRUE,Cardiovascular,imaging_measure,method_variant,"Multiple measurement methods (M-mode, 2D four-chamber, 2D two-chamber, 3D) grouped under one concept."
LV_END_SYSTOLIC_VOLUME,TRUE,Cardiovascular,imaging_measure,method_variant,"Multiple measurement methods (M-mode, 2D four-chamber, 2D two-chamber, 3D) grouped under one concept."
LV_FRACTIONAL_SHORTENING,TRUE,Cardiovascular,imaging_measure,method_variant,"Source variables include LV % fractional shortening (MMLVFS), expected fractional shortening (MMLVEXFS), and LV end-systolic stress/fractional shortening ratio (MMLVSSFS) — these are distinct constructs grouped under one concept. instance_type set to method_variant given the heterogeneous measures. Recommend splitting MMLVEXFS and MMLVSSFS into separate concepts."
LV_HYPERTROPHY_GLOBAL,TRUE,Cardiovascular,derived_score,single,Cross-exam conflict: Year 25 variable (HLVH) is a binary global LVH indicator; Year 30 variable (ILINDIM2D) indicates whether linear dimensions were derived from 2D PLAX — a protocol/method flag rather than a clinical outcome. Grouping under a single concept is likely inappropriate; ILINDIM2D may belong with imaging quality or protocol deviation concepts.
LV_INTERNAL_DIMENSION_DIASTOLE,TRUE,Cardiovascular,imaging_measure,method_variant,Units not specified in source descriptions. M-mode and 2D measurements grouped together.
LV_INTERNAL_DIMENSION_SYSTOLE,TRUE,Cardiovascular,imaging_measure,method_variant,Units not specified in source descriptions. M-mode and 2D measurements grouped together.
LV_MASS,TRUE,Cardiovascular,imaging_measure,method_variant,"Multiple measurement methods (M-mode CoC, 2D, 3D) grouped under one concept."
LV_POSTERIOR_WALL_DIASTOLE,TRUE,Cardiovascular,imaging_measure,method_variant,Units not specified in source descriptions. M-mode and 2D measurements grouped together.
LV_POSTERIOR_WALL_SYSTOLE,TRUE,Cardiovascular,imaging_measure,method_variant,"Units not specified in source descriptions. Varnames include EPWTS1, EPWTS2, EPWTS3, EPWTSSD — repeated readings with SD. Classified as method_variant for consistency with the parallel LV_POSTERIOR_WALL_DIASTOLE concept."
LV_STROKE_VOLUME,TRUE,Cardiovascular,imaging_measure,method_variant,"LV_STROKE_VOLUME and LV_STROKE_VOLUME_MMODE share the same varnames (HLSV, ILSV); these appear to be duplicate concepts. LV_STROKE_VOLUME additionally includes 3D (I3DLVSV) and early exam (A2SLVSV) variables."
LV_STROKE_VOLUME_MMODE,FALSE,Cardiovascular,imaging_measure,single,"This concept shares identical varnames (HLSV, ILSV) with LV_STROKE_VOLUME, which also covers 3D and early exam variables for the same underlying construct. This concept is a duplicate subset. Recommend suppressing and consolidating under LV_STROKE_VOLUME."
LV_TISSUE_DOPPLER_LATERAL_A,TRUE,Cardiovascular,imaging_measure,single,"Critical mapping error: the Year 25 varname listed for this concept (HLVAMSEPT) is described in the source as 'DOPPLER TISSUE DOPPLER SEPTAL A-WAVE PRIME VELOCITY' — a septal measurement, not lateral. The same varname HLVAMSEPT also appears in LV_TISSUE_DOPPLER_SEPTAL_A. Only the Year 30 varname (ILVAMLAT) is confirmed as lateral. This concept likely contains a mis-assigned Year 25 variable; the lateral A′ data for Year 25 may be missing or incorrectly mapped. Units not specified."
LV_TISSUE_DOPPLER_LATERAL_E,TRUE,Cardiovascular,imaging_measure,single,Units not specified in source descriptions.
LV_TISSUE_DOPPLER_LATERAL_S,TRUE,Cardiovascular,imaging_measure,single,Units not specified in source descriptions.
LV_TISSUE_DOPPLER_SEPTAL_A,TRUE,Cardiovascular,imaging_measure,single,Varname HLVAMSEPT appears in both LV_TISSUE_DOPPLER_LATERAL_A and LV_TISSUE_DOPPLER_SEPTAL_A — likely a mapping error in one of these concepts. Units not specified.
LV_TISSUE_DOPPLER_SEPTAL_E,TRUE,Cardiovascular,imaging_measure,single,Units not specified in source descriptions.
LV_TISSUE_DOPPLER_SEPTAL_S,TRUE,Cardiovascular,imaging_measure,single,Units (cm/s) confirmed only for Year 25 variable; not specified for Year 30.
LV_WALL_MOTION_SUMMARY,TRUE,Cardiovascular,imaging_measure,single,"Critical misclustering: varname HLVEF45 ('LV EF LESS OR EQUAL TO 45%, 0-NO; 1-YES') also appears in LV_EF_LOW_FLAG and is clearly not a wall motion summary variable. The only true wall motion variable in this concept is QLWMSUM. HLVEF45 appears to be incorrectly assigned here. Recommend removing HLVEF45 from this concept; the concept should represent only the semi-quantitative wall motion summary from QLWMSUM."
MITRAL_A_WAVE_DURATION,TRUE,Cardiovascular,imaging_measure,single,Cross-exam conflict: Year 25 variable (HMVDETM) is described as mitral valve deceleration time in the source descriptions but is mapped to this concept (A-wave duration) rather than to MITRAL_DECELERATION_TIME. The same varname HMVDETM appears in both MITRAL_A_WAVE_DURATION and MITRAL_DECELERATION_TIME — likely a mapping error.
MITRAL_DECELERATION_TIME,TRUE,Cardiovascular,imaging_measure,single,Varname HMVDETM appears in both MITRAL_A_WAVE_DURATION and MITRAL_DECELERATION_TIME — likely a mapping error in one concept.
MITRAL_E_TO_A_RATIO,TRUE,Cardiovascular,imaging_measure,single,Units not specified in source descriptions.
MITRAL_HEART_RATE,TRUE,Cardiovascular,imaging_measure,multi_instance,"Limited source descriptions. Variables include two repeated measurements (EMHR1, EMHR2) and an SD value (EMHRSD). Raw type field listed as 'encoded' but no value labels are present — this is a numeric heart rate measurement."
MITRAL_ISOVOLUMIC_RELAX_TIME,TRUE,Cardiovascular,imaging_measure,single,Units not specified in source descriptions.
MITRAL_PEAK_A_VELOCITY,TRUE,Cardiovascular,imaging_measure,single,Units not specified in source descriptions.
MITRAL_PEAK_E_VELOCITY,TRUE,Cardiovascular,imaging_measure,single,Units not specified in source descriptions.
